"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"103983","898.296352","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=5845 Win=250 Len=0","0.045390000"
"104636","903.623485","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.327133000"
"104637","903.669473","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=5879 Win=250 Len=0","0.045988000"
"105011","908.378211","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.708738000"
"105012","908.430684","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=5913 Win=250 Len=0","0.052473000"
"105046","913.679949","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.249265000"
"105047","913.722752","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=5947 Win=250 Len=0","0.042803000"
"105083","919.309260","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.586508000"
"105084","919.358736","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=5981 Win=255 Len=0","0.049476000"
"105413","924.594875","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.236139000"
"105415","924.643282","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=6015 Win=255 Len=0","0.048407000"
"105450","929.568348","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.925066000"
"105453","929.617865","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=6049 Win=255 Len=0","0.049517000"
"105507","934.805913","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.188048000"
"105508","934.858361","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=6083 Win=255 Len=0","0.052448000"
"105702","939.748933","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.890572000"
"105704","939.794820","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=6117 Win=255 Len=0","0.045887000"
"105787","945.437299","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.642479000"
"105788","945.477807","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=6151 Win=255 Len=0","0.040508000"
"105851","951.119214","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.641407000"
"105852","951.163289","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=6185 Win=255 Len=0","0.044075000"
"105947","955.972382","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.809093000"
"105949","956.019515","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=31 Ack=6219 Win=255 Len=0","0.047133000"
"105962","957.986192","192.168.3.103","5.196.78.28","MQTT","56","Ping Request","1.966677000"
"105963","958.201312","5.196.78.28","192.168.3.103","TCP","60","1883  >  51332 [ACK] Seq=6219 Ack=33 Win=502 Len=0","0.215120000"
"105971","959.414347","5.196.78.28","192.168.3.103","MQTT","60","Ping Response","1.213035000"
"105972","959.463369","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6221 Win=255 Len=0","0.049022000"
"106007","961.403342","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","1.939973000"
"106008","961.455307","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6255 Win=254 Len=0","0.051965000"
"106080","966.845900","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.390593000"
"106082","966.888040","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6289 Win=254 Len=0","0.042140000"
"106244","972.307543","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.419503000"
"106245","972.348237","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6323 Win=254 Len=0","0.040694000"
"106291","977.236069","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","4.887832000"
"106295","977.282247","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6357 Win=254 Len=0","0.046178000"
"106700","982.681506","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.399259000"
"106713","982.732850","192.168.3.103","5.196.78.28","TCP","54","51332  >  1883 [ACK] Seq=33 Ack=6391 Win=254 Len=0","0.051344000"
"111837","987.759717","5.196.78.28","192.168.3.103","MQTT","88","Publish Message [esp32/felipe/dht]","5.026867000"
