"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"27202","1559.047536","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12684, 2.03 Valid","0.000842000"
"27249","1564.323568","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:55316, POST, coap://192.168.3.103/sensor","5.276032000"
"27250","1564.324439","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12685, 2.03 Valid","0.000871000"
"27288","1569.603393","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:38387, POST, coap://192.168.3.103/sensor","5.278954000"
"27289","1569.604183","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12686, 2.03 Valid","0.000790000"
"27332","1574.884498","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:60916, POST, coap://192.168.3.103/sensor","5.280315000"
"27333","1574.885303","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12687, 2.03 Valid","0.000805000"
"27383","1580.163239","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:2635, POST, coap://192.168.3.103/sensor","5.277936000"
"27384","1580.163999","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12688, 2.03 Valid","0.000760000"
"27442","1585.444049","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:6328, POST, coap://192.168.3.103/sensor","5.280050000"
"27443","1585.444890","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12689, 2.03 Valid","0.000841000"
"27538","1590.729328","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:6131, POST, coap://192.168.3.103/sensor","5.284438000"
"27539","1590.730140","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12690, 2.03 Valid","0.000812000"
"27630","1596.004957","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:32205, POST, coap://192.168.3.103/sensor","5.274817000"
"27631","1596.005704","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12691, 2.03 Valid","0.000747000"
"27733","1601.291202","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:59171, POST, coap://192.168.3.103/sensor","5.285498000"
"27734","1601.291845","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12692, 2.03 Valid","0.000643000"
"27778","1606.566195","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:15232, POST, coap://192.168.3.103/sensor","5.274350000"
"27779","1606.566778","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12693, 2.03 Valid","0.000583000"
"27881","1611.846242","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:27187, POST, coap://192.168.3.103/sensor","5.279464000"
"27882","1611.846919","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12694, 2.03 Valid","0.000677000"
"27939","1617.126903","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:29392, POST, coap://192.168.3.103/sensor","5.279984000"
"27940","1617.127716","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12695, 2.03 Valid","0.000813000"
"27994","1622.406240","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:28199, POST, coap://192.168.3.103/sensor","5.278524000"
"27995","1622.406945","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12696, 2.03 Valid","0.000705000"
"28032","1627.689136","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:35638, POST, coap://192.168.3.103/sensor","5.282191000"
"28033","1627.689958","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:12697, 2.03 Valid","0.000822000"
