No.,Time,Source,Destination,Protocol,Length,Info,Intervalo,Delta_t
98349,481.128963,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.234861,5.283204000000012
98415,487.580249,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],6.399086,6.451285999999982
98446,492.463107,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.841484,4.882857999999999
98481,497.318328,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.811318,4.855221000000029
98507,502.161519,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.791119,4.84319099999999
98534,507.613254,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.407954,5.451734999999985
98565,513.279755,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.612029,5.666501000000039
98688,518.866862,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.541635,5.587106999999946
98744,524.816814,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.894235,5.949952000000053
98806,529.634609,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.76612,4.817794999999933
98837,534.500472,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.822845,4.86586299999999
98878,540.467726,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],3.343793,5.967254000000025
98913,544.864274,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.354441,4.3965480000000525
98989,549.915835,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.011018,5.051560999999992
99029,555.790899,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.821113,5.875063999999952
99099,560.917149,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.082855,5.126250000000027
99150,566.303555,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.336142,5.386405999999965
99188,572.432399,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],6.085635,6.128844000000072
99224,577.42856,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.944834,4.9961609999999155
99249,582.361626,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.888422,4.9330660000000535
99284,587.351981,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.941668,4.990355000000022
99307,592.697085,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.295439,5.345103999999992
99344,598.131864,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.25705,5.434778999999935
99442,602.914097,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.730306,4.782233000000019
99756,608.817057,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.862154,5.902960000000007
99782,613.498458,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.632375,4.681401000000051
99811,618.527287,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.977189,5.028828999999973
99848,624.613539,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],6.044134,6.086251999999945
99902,629.821157,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.166549,5.207618000000025
99924,634.99164,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.119804,5.17048299999999
100286,640.238448,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.191509,5.246807999999987
100371,645.013018,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.726929,4.77457000000004
100407,649.887161,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.826593,4.874143000000004
100463,655.544489,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.403817,5.657328000000007
100537,660.944659,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.483757,5.400170000000003
100579,666.672302,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.684174,5.727642999999944
100607,671.281861,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.565249,4.609559000000104
100671,676.573374,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.242478,5.291512999999895
100905,681.912848,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.286867,5.339474000000109
100966,686.967673,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.001765,5.054824999999937
101004,692.534549,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.523609,5.566875999999979
101039,697.552692,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.977744,5.018143000000009
101074,703.347601,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.747386,5.794909000000075
101147,708.948645,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.548624,5.601044000000002
101182,713.531838,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.539006,4.5831929999999375
101220,718.495022,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],1.145605,4.963183999999956
101260,723.654459,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.110718,5.159437000000025
101320,730.084305,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],6.385098,6.429845999999998
101355,735.203998,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.06919,5.119692999999984
101381,739.63262,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.383912,4.4286220000000185
101443,745.29153,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.611781,5.658909999999992
101492,751.014041,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.680655,5.722511000000054
101603,756.113885,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.05641,5.099843999999962
101648,761.461632,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.29795,5.347747000000027
101707,766.457666,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.943359,4.996034000000009
102418,772.228231,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.719267,5.770565000000033
102451,776.763093,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],0.292841,4.5348619999999755
102496,782.026919,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.248,5.263825999999995
102538,787.152749,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.075569,5.125829999999951
102577,792.593614,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.386619,5.440865000000031
102607,798.220409,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.576633,5.6267950000000155
102665,803.684458,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.412612,5.464048999999932
102712,808.893599,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.158371,5.209141000000045
102748,814.423028,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.481235,5.52942900000005
102819,819.335018,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.869121,4.911989999999946
102880,824.602897,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.222842,5.2678789999999935
102959,829.453338,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],4.80625,4.850441000000046
103134,834.954038,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.449318,5.500699999999938
103210,840.373814,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],1.515453,5.41977600000007
103260,845.460746,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.044237,5.086931999999933
103302,851.297428,5.196.78.28,192.168.3.103,MQTT,88,Publish Message [esp32/felipe/dht],5.795106,5.836681999999996
