"No.","Time","Source","Destination","Protocol","Length","Info","Intervalo"
"13653","922.192663","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49175, 2.03 Valid","0.000814000"
"13678","927.473220","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:13105, POST, coap://192.168.3.103/sensor","5.280557000"
"13679","927.474026","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49176, 2.03 Valid","0.000806000"
"13752","932.754426","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:44124, POST, coap://192.168.3.103/sensor","5.280400000"
"13753","932.755216","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49177, 2.03 Valid","0.000790000"
"13795","938.033809","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:24092, POST, coap://192.168.3.103/sensor","5.278593000"
"13796","938.034634","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49178, 2.03 Valid","0.000825000"
"13837","943.313885","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:24238, POST, coap://192.168.3.103/sensor","5.279251000"
"13838","943.314671","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49179, 2.03 Valid","0.000786000"
"13866","948.593205","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:13196, POST, coap://192.168.3.103/sensor","5.278534000"
"13867","948.594047","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49180, 2.03 Valid","0.000842000"
"13900","953.872872","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:15272, POST, coap://192.168.3.103/sensor","5.278825000"
"13901","953.873682","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49181, 2.03 Valid","0.000810000"
"13936","959.153034","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:33948, POST, coap://192.168.3.103/sensor","5.279352000"
"13937","959.153809","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49182, 2.03 Valid","0.000775000"
"13965","964.439155","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:26600, POST, coap://192.168.3.103/sensor","5.285346000"
"13966","964.439923","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49183, 2.03 Valid","0.000768000"
"14008","969.713070","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:5142, POST, coap://192.168.3.103/sensor","5.273147000"
"14009","969.713969","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49184, 2.03 Valid","0.000899000"
"14065","974.991361","192.168.3.116","192.168.3.103","CoAP","83","NON, MID:27541, POST, coap://192.168.3.103/sensor","5.277392000"
"14066","974.992164","192.168.3.103","192.168.3.116","CoAP","46","NON, MID:49185, 2.03 Valid","0.000803000"
